id,category,name,protein,fat,carbs,kcal
lapsha-risovaya-varenaya,Макароны и лапша,Лапша рисовая варёная,1.8,0.2,24.0,108
lapsha-soba-varenaya,Макароны и лапша,Лапша гречневая соба варёная,5.1,0.1,21.4,99
hleb-belyj,Хлеб и выпечка,Хлеб белый (батон),7.5,2.9,50.9,262
hleb-rzhanoj,Хлеб и выпечка,Хлеб ржаной,6.6,1.2,34.2,174
hleb-borodinskij,Хлеб и выпечка,Хлеб бородинский,6.8,1.3,40.7,207
hleb-celnozernovoj,Хлеб и выпечка,Хлеб цельнозерновой,13.0,3.4,41.3,252
lavash-tonkij,Хлеб и выпечка,Лаваш тонкий,7.9,1.0,47.6,236
hlebcy-rzhanye,Хлеб и выпечка,Хлебцы ржаные,11.0,2.7,58.0,310
suhari-pshenichnye,Хлеб и выпечка,Сухари пшеничные,11.2,1.4,72.2,331
tortilya-pshenichnaya,Хлеб и выпечка,Тортилья пшеничная,8.3,7.9,46.0,304
kruassan,Хлеб и выпечка,Круассан,8.2,21.0,45.8,406
bliny,Хлеб и выпечка,Блины на молоке,6.1,12.3,26.0,233
syrniki,Хлеб и выпечка,Сырники,17.4,10.1,10.6,203
oladi,Хлеб и выпечка,Оладьи,6.4,10.2,36.0,261
kurinaya-grudka-syraya,Птица,Куриная грудка сырая (филе),23.6,1.9,0.4,113
kurinaya-grudka-otvarnaya,Птица,Куриная грудка отварная,29.8,1.8,0.5,137
kurinaya-grudka-zharenaya,Птица,Куриная грудка жареная (без панировки),31.0,3.6,0.0,165
kurinoe-bedro-bez-kozhi-syroe,Птица,Куриное бедро без кожи сырое,19.7,3.9,0.0,121
kurinoe-bedro-s-kozhej-syroe,Птица,Куриное бедро с кожей сырое,17.3,16.6,0.0,221
kurinoe-bedro-zapechennoe,Птица,Куриное бедро запечённое без кожи,24.8,8.2,0.0,179
kurinye-okorochka-syrye,Птица,Куриные окорочка сырые (с кожей),16.8,10.2,0.0,158
kurinye-krylya-syrye,Птица,Куриные крылья сырые,17.5,12.9,0.0,191
kurinaya-golen-syraya,Птица,Куриная голень сырая,18.1,9.2,0.0,161
kurinyj-farsh,Птица,Фарш куриный,17.4,8.1,0.0,143
indejka-grudka-syraya,Птица,Индейка филе грудки сырое,23.7,1.5,0.1,114
indejka-farsh,Птица,Фарш индейки,19.7,7.7,0.0,148
pechen-kurinaya-syraya,Птица,Печень куриная сырая,20.4,5.9,0.7,140
kurinye-serdechki-syrye,Птица,Сердечки куриные сырые,15.8,10.3,0.8,159
kurinye-zheludki-syrye,Птица,Желудки куриные сырые,18.2,4.2,0.6,114
govyadina-vyrezka-syraya,Мясо,Говядина вырезка сырая,21.0,4.0,0.0,120
govyadina-syraya,Мясо,Говядина сырая (средней жирности),18.6,16.0,0.0,218
govyadina-otvarnaya,Мясо,Говядина отварная,25.8,16.8,0.0,254
govyazhij-farsh,Мясо,Фарш говяжий,17.2,20.0,0.0,254
svinina-nezhirnaya-syraya,Мясо,Свинина нежирная сырая (вырезка),19.4,7.1,0.0,142
svinina-sheya-syraya,Мясо,Свинина жирная сырая (шейка),13.9,31.4,0.0,338
svinoj-farsh,Мясо,Фарш свиной,17.0,21.0,0.0,257
farsh-svino-govyazhij,Мясо,Фарш свино-говяжий,17.0,20.0,0.0,248
baranina-syraya,Мясо,Баранина сырая,16.3,15.3,0.0,203
pechen-govyazhya-syraya,Мясо,Печень говяжья сырая,17.9,3.7,5.3,127
bekon,Колбасы и мясопродукты,Бекон сырокопчёный,23.0,45.0,0.0,500
kolbasa-varenaya-doktorskaya,Колбасы и мясопродукты,Колбаса варёная (докторская),12.8,22.2,1.5,257
sosiski-molochnye,Колбасы и мясопродукты,Сосиски молочные,11.0,23.9,1.6,266
vetchina,Колбасы и мясопродукты,Ветчина,14.0,20.0,1.5,242
kolbasa-syrokopchenaya,Колбасы и мясопродукты,Колбаса сырокопчёная (салями),22.0,40.0,1.0,452
losos-syroj,Рыба и морепродукты,Сёмга (лосось атлантический) сырая,20.4,13.4,0.0,208
losos-zapechennyj,Рыба и морепродукты,Лосось запечённый,22.1,12.4,0.0,206
gorbusha-syraya,Рыба и морепродукты,Горбуша сырая,20.5,6.5,0.0,142
keta-syraya,Рыба и морепродукты,Кета сырая,22.0,5.6,0.0,138
treska-syraya,Рыба и морепродукты,Треска сырая,17.7,0.7,0.0,78
mintaj-syroj,Рыба и морепродукты,Минтай сырой,15.9,0.9,0.0,72
hek-syroj,Рыба и морепродукты,Хек сырой,16.6,2.2,0.0,86
tilapiya-syraya,Рыба и морепродукты,Тилапия сырая,20.1,1.7,0.0,96
pangasius-syroj,Рыба и морепродукты,Пангасиус сырой,15.2,3.0,0.0,89
tunec-syroj,Рыба и морепродукты,Тунец (желтопёрый) сырой,24.4,0.5,0.0,109
tunec-v-sobstvennom-soku,Рыба и морепродукты,Тунец консервированный в собственном соку,23.0,1.0,0.0,101
skumbriya-syraya,Рыба и морепродукты,Скумбрия сырая,18.0,13.2,0.0,191
seld-solenaya,Рыба и морепродукты,Сельдь солёная,19.8,15.4,0.0,217
krevetki-syrye,Рыба и морепродукты,Креветки сырые (очищенные),20.1,0.5,0.0,85
krevetki-varenye,Рыба и морепродукты,Креветки варёные,24.0,0.3,0.2,99
kalmar-syroj,Рыба и морепродукты,Кальмар сырой,18.0,2.2,2.0,100
midii-varenye,Рыба и морепродукты,Мидии варёные,11.5,2.0,3.3,77
krabovye-palochki,Рыба и морепродукты,Крабовые палочки,6.0,1.0,10.0,73
ikra-krasnaya,Рыба и морепродукты,Икра красная (лососёвая),32.0,15.0,0.0,263
yajco-kurinoe,Яйца,Яйцо куриное,12.7,10.9,0.7,157
yajco-kurinoe-varenoe,Яйца,Яйцо куриное варёное,12.9,11.6,0.8,160
yaichnyj-belok,Яйца,Яичный белок,11.1,0.0,0.7,48
yaichnyj-zheltok,Яйца,Яичный желток,16.2,31.2,1.0,352
yajco-perepelinoe,Яйца,Яйцо перепелиное,11.9,13.1,0.6,168
yaichnica-glazunya,Яйца,Яичница-глазунья (на масле),13.6,14.8,0.8,196
moloko-0-5,Молочное,"Молоко 0,5%",3.0,0.5,4.8,35
moloko-1-5,Молочное,"Молоко 1,5%",2.8,1.5,4.7,44
moloko-2-5,Молочное,"Молоко 2,5%",2.8,2.5,4.7,52
moloko-3-2,Молочное,"Молоко 3,2%",2.9,3.2,4.7,60
kefir-1,Молочное,Кефир 1%,3.0,1.0,4.0,40
kefir-2-5,Молочное,"Кефир 2,5%",2.9,2.5,4.0,53
kefir-3-2,Молочное,"Кефир 3,2%",2.9,3.2,4.0,59
ryazhenka-4,Молочное,Ряженка 4%,2.8,4.0,4.2,67
jogurt-grecheskij-2,Молочное,Йогурт греческий 2%,8.0,2.0,3.5,64
jogurt-naturalnyj-2-5,Молочное,"Йогурт натуральный 2,5%",4.3,2.5,3.4,53
tvorog-0-5,Молочное,"Творог обезжиренный 0,5%",18.0,0.5,3.3,90
tvorog-5,Молочное,Творог 5%,17.2,5.0,1.8,121
tvorog-9,Молочное,Творог 9%,16.7,9.0,2.0,159
tvorog-zernenyj,Молочное,Творог зернёный,12.0,5.0,2.0,101
smetana-10,Молочное,Сметана 10%,3.0,10.0,2.9,115
smetana-15,Молочное,Сметана 15%,2.6,15.0,3.0,158
smetana-20,Молочное,Сметана 20%,2.8,20.0,3.2,206
slivki-10,Молочное,Сливки 10%,3.0,10.0,4.0,118
slivki-20,Молочное,Сливки 20%,2.8,20.0,3.7,205
slivki-33,Молочное,Сливки 33%,2.2,33.0,3.0,322
moloko-sgushchennoe,Молочное,Молоко сгущённое с сахаром,7.2,8.5,56.0,320
morozhenoe-plombir,Молочное,Мороженое пломбир,3.2,15.0,20.8,227
syr-rossijskij,Сыры,Сыр российский (твёрдый),23.2,29.5,0.0,360
syr-gauda,Сыры,Сыр гауда,24.9,27.4,2.2,356
syr-parmezan,Сыры,Сыр пармезан,35.8,25.8,3.2,392
syr-mocarella,Сыры,Сыр моцарелла,18.0,24.0,1.0,280
syr-feta,Сыры,Сыр фета,14.2,21.3,4.1,264
brynza,Сыры,Брынза,17.9,20.1,0.0,260
syr-adygejskij,Сыры,Сыр адыгейский,18.5,14.0,1.5,205
syr-plavlenyj,Сыры,Сыр плавленый,10.0,24.0,4.0,272
syr-slivochnyj,Сыры,Сливочный сыр (крем-чиз),5.9,34.4,4.1,342
rikotta,Сыры,Рикотта,11.3,13.0,3.0,174
moloko-kokosovoe,Растительное молоко,Кокосовое молоко (консервы),2.0,21.3,2.8,197
moloko-soevoe,Растительное молоко,Соевое молоко (без сахара),3.3,1.8,0.7,33
moloko-ovsyanoe,Растительное молоко,Овсяное молоко,1.0,1.5,6.6,46
moloko-mindalnoe,Растительное молоко,Миндальное молоко (без сахара),0.5,1.1,0.3,13
kartofel,Овощи,Картофель сырой,2.0,0.4,16.3,77
kartofel-varenyj,Овощи,Картофель варёный,2.0,0.4,16.7,82
kartofelnoe-pyure,Овощи,Картофельное пюре (с молоком и маслом),2.5,4.2,14.7,106
kartofel-zharenyj,Овощи,Картофель жареный,2.8,9.5,23.4,192
kartofel-fri,Овощи,Картофель фри,3.4,15.0,41.0,312
batat,Овощи,Батат сырой,1.6,0.1,20.1,86
morkov,Овощи,Морковь,1.3,0.1,6.9,35
svekla,Овощи,Свёкла,1.5,0.1,8.8,42
svekla-varenaya,Овощи,Свёкла варёная,1.8,0.0,10.8,49
kapusta-belokochannaya,Овощи,Капуста белокочанная,1.8,0.1,4.7,27
kapusta-pekinskaya,Овощи,Капуста пекинская,1.2,0.2,2.0,16
kapusta-kvashenaya,Овощи,Капуста квашеная,1.8,0.1,3.0,23
brokkoli,Овощи,Брокколи,2.8,0.4,5.2,34
cvetnaya-kapusta,Овощи,Цветная капуста,2.5,0.3,5.4,30
kabachok,Овощи,Кабачок,0.6,0.3,4.6,24
baklazhan,Овощи,Баклажан,1.2,0.1,4.5,24
ogurec,Овощи,Огурец,0.8,0.1,2.8,15
ogurcy-solenye,Овощи,Огурцы солёные,0.8,0.1,1.7,11
pomidor,Овощи,Помидор,1.1,0.2,3.7,20
pomidory-cherri,Овощи,Помидоры черри,0.8,0.1,2.8,15
perec-bolgarskij,Овощи,Перец болгарский (сладкий),1.3,0.1,5.3,26
perec-chili,Овощи,Перец чили,1.9,0.4,8.8,40
luk-repchatyj,Овощи,Лук репчатый,1.4,0.2,8.2,41
luk-zelenyj,Овощи,Лук зелёный,1.3,0.1,4.6,19
chesnok,Овощи,Чеснок,6.5,0.5,29.9,143
imbir,Овощи,Имбирь (корень),1.8,0.8,15.8,80
tykva,Овощи,Тыква,1.0,0.1,4.4,22
shpinat,Овощи,Шпинат,2.9,0.3,2.0,23
vodyanoj-shpinat,Овощи,Водяной шпинат (рау муонг),2.6,0.2,3.1,19
pak-choj,Овощи,Пак-чой (бок-чой),1.5,0.2,1.2,13
salat-listovoj,Овощи,Салат листовой,1.2,0.3,1.3,12
rukkola,Овощи,Руккола,2.6,0.7,2.1,25
selderej-chereshkovyj,Овощи,Сельдерей черешковый,0.9,0.1,2.1,13
redis,Овощи,Редис,1.2,0.1,3.4,20
fasol-strukovaya,Овощи,Фасоль стручковая,2.0,0.2,3.6,24
kukuruza-konservirovannaya,Овощи,Кукуруза консервированная,2.2,0.4,11.2,58
goroshek-konservirovannyj,Овощи,Зелёный горошек консервированный,3.1,0.2,6.5,40
avokado,Овощи,Авокадо,2.0,14.7,1.8,160
shampinony,Грибы,Шампиньоны,4.3,1.0,1.0,27
veshenki,Грибы,Вешенки,3.3,0.4,6.1,38
kinza,Зелень,Кинза (кориандр),2.1,0.5,3.7,23
petrushka,Зелень,Петрушка,3.7,0.4,7.6,49
ukrop,Зелень,Укроп,2.5,0.5,6.3,38
yabloko,Фрукты,Яблоко,0.4,0.4,9.8,47
banan,Фрукты,Банан,1.5,0.2,21.8,95
apelsin,Фрукты,Апельсин,0.9,0.2,8.1,43
mandarin,Фрукты,Мандарин,0.8,0.2,7.5,38
grejpfrut,Фрукты,Грейпфрут,0.7,0.2,6.5,35
limon,Фрукты,Лимон,0.9,0.1,3.0,34
grusha,Фрукты,Груша,0.4,0.3,10.3,47
persik,Фрукты,Персик,0.9,0.1,9.5,45
abrikos,Фрукты,Абрикос,0.9,0.1,9.0,44
sliva,Фрукты,Слива,0.8,0.3,9.6,49
vinograd,Фрукты,Виноград,0.6,0.6,15.4,72
kivi,Фрукты,Киви,1.0,0.6,10.3,48
ananas,Фрукты,Ананас,0.4,0.2,10.6,52
mango,Фрукты,Манго,0.8,0.4,13.4,60
papajya,Фрукты,Папайя,0.5,0.3,9.1,43
pitahajya,Фрукты,Питахайя (драконий фрукт),1.1,0.4,13.0,60
lichi,Фрукты,Личи,0.8,0.4,15.2,66
longan,Фрукты,Лонган,1.3,0.1,14.0,60
durian,Фрукты,Дуриан,1.5,5.3,23.3,147
dzhekfrut,Фрукты,Джекфрут,1.7,0.6,21.8,95
kokos-myakot,Фрукты,Кокос (мякоть),3.3,33.5,6.2,354
arbuz,Фрукты,Арбуз,0.6,0.1,5.8,27
dynya,Фрукты,Дыня,0.6,0.3,7.4,35
granat,Фрукты,Гранат,0.7,0.6,14.5,72
hurma,Фрукты,Хурма,0.5,0.4,15.3,67
klubnika,Ягоды,Клубника,0.8,0.4,7.5,41
malina,Ягоды,Малина,0.8,0.5,8.3,46
chernika,Ягоды,Черника,1.1,0.4,7.6,44
golubika,Ягоды,Голубика,1.0,0.5,6.6,39
smorodina-chernaya,Ягоды,Смородина чёрная,1.0,0.4,7.3,44
vishnya,Ягоды,Вишня,0.8,0.5,11.3,52
chereshnya,Ягоды,Черешня,1.1,0.4,11.5,52
klyukva,Ягоды,Клюква,0.5,0.2,3.7,28
izyum,Сухофрукты,Изюм,2.9,0.6,66.0,264
kuraga,Сухофрукты,Курага,5.2,0.3,51.0,215
chernosliv,Сухофрукты,Чернослив,2.3,0.7,57.5,231
finiki,Сухофрукты,Финики,2.5,0.5,69.2,274
greckij-oreh,Орехи и семена,Грецкий орех,15.2,65.2,7.0,654
mindal,Орехи и семена,Миндаль,18.6,57.7,16.2,609
keshyu,Орехи и семена,Кешью,18.2,43.9,26.9,553
funduk,Орехи и семена,Фундук,15.0,61.5,9.4,651
arahis,Орехи и семена,Арахис,26.3,45.2,9.9,551
fistashki,Орехи и семена,Фисташки,20.0,50.0,7.0,556
kedrovye-orehi,Орехи и семена,Кедровые орехи,13.7,68.4,13.1,673
semechki-podsolnechnika,Орехи и семена,Семечки подсолнечника (очищенные),20.7,52.9,3.4,578
semechki-tykvennye,Орехи и семена,Тыквенные семечки,24.5,45.8,4.7,541
kunzhut,Орехи и семена,Кунжут,19.4,48.7,12.2,565
chia,Орехи и семена,Семена чиа,16.5,30.7,7.7,486
semena-lna,Орехи и семена,Семена льна,18.3,42.2,1.6,534
arahisovaya-pasta,Орехи и семена,Арахисовая паста,22.5,51.4,17.3,588
maslo-podsolnechnoe,Масла и жиры,Масло подсолнечное,0.0,99.9,0.0,899
maslo-olivkovoe,Масла и жиры,Масло оливковое,0.0,99.8,0.0,898
maslo-kokosovoe,Масла и жиры,Масло кокосовое,0.0,99.9,0.0,899
maslo-slivochnoe,Масла и жиры,"Масло сливочное 82,5%",0.6,82.5,0.8,748
maslo-toplenoe,Масла и жиры,Масло топлёное (гхи),0.2,99.0,0.0,892
salo,Масла и жиры,Сало свиное,2.4,89.0,0.0,812
majonez-67,Масла и жиры,Майонез 67%,0.3,67.0,2.6,624
tofu,Азиатское,Тофу,8.1,4.2,0.6,73
soevyj-sous,Азиатское,Соевый соус,6.0,0.0,6.6,51
rybnyj-sous,Азиатское,Рыбный соус (ныок мам),5.1,0.0,3.6,35
ustrichnyj-sous,Азиатское,Устричный соус,1.4,0.3,11.0,51
sriracha,Азиатское,Соус шрирача,1.9,0.9,19.2,93
sahar,Сладкое,Сахар,0.0,0.0,99.8,399
med,Сладкое,Мёд,0.8,0.0,81.5,329
shokolad-molochnyj,Сладкое,Шоколад молочный,6.9,35.7,54.4,550
shokolad-gorkij-70,Сладкое,Шоколад горький 70%,7.8,42.6,33.0,547
shokoladnaya-pasta,Сладкое,Шоколадная паста с орехами,6.3,30.9,57.5,539
varene,Сладкое,Варенье (в среднем),0.3,0.2,70.0,271
pechene-ovsyanoe,Сладкое,Печенье овсяное,6.5,14.4,71.8,437
zefir,Сладкое,Зефир,0.8,0.1,78.3,304
halva-podsolnechnaya,Сладкое,Халва подсолнечная,11.6,29.7,54.0,516
protein-syvorotochnyj,Спортпит,Протеин сывороточный (в среднем),75.0,5.0,7.0,373
kofe-chernyj,Напитки,Кофе чёрный (без сахара),0.2,0.0,0.0,2
sok-apelsinovyj,Напитки,Сок апельсиновый,0.7,0.2,10.4,45
kola,Напитки,Кола,0.0,0.0,10.6,42
pivo-svetloe,Напитки,Пиво светлое,0.3,0.0,4.6,43
vino-krasnoe-suhoe,Напитки,Вино красное сухое,0.2,0.0,0.3,68
